state,class,Abortion_Rights,Changed,Change_Type,notes
Alabama,Restrictive,Total Ban,Yes,Restricted,as of 7/2022
Alaska,Not Restrictive,Legal with no gestational limit,No,No Change,
Arizona,Not Restrictive,Legal before viability,Yes,Strengthened,"10/2022-10/2024: restrictive, 11/2024 on, not restrictive"
Arkansas,Restrictive,Total Ban,Yes,Restricted,as of 7/2022
California,Not Restrictive,Legal before viability,Yes,Strengthened,
Colorado,Not Restrictive,Legal with no gestational limit,Yes,Strengthened,
Connecticut,Not Restrictive,Legal before viability,Yes,Strengthened,
Delaware,Not Restrictive,Legal before viability,Yes,Strengthened,
Florida,Restrictive,Ban after 6 weeks,Yes,Restricted,as of 7/2022
Georgia,Restrictive,Ban after 6 weeks,Yes,Restricted,as of 8/2022
Hawaii,Not Restrictive,Legal before viability,Yes,Strengthened,
Idaho,Restrictive,Total Ban,Yes,Restricted,as of 9/2022
Illinois,Not Restrictive,Legal before viability,Yes,Strengthened,
Indiana,Restrictive,Total Ban,Yes,Restricted,as of 9/2023
Iowa,Restrictive,6 Weeks,Yes,Restricted,as of 8/2024
Kansas,Not Restrictive,Legal before viability,No,No Change,
Kentucky,Restrictive,Total Ban,Yes,Restricted,
Louisiana,Restrictive,Total Ban,Yes,Restricted,
Maine,Not Restrictive,Legal before viability,Yes,Strengthened,
Maryland,Not Restrictive,Legal with no gestational limit,Yes,Strengthened,
Massachusetts,Not Restrictive,Legal before viability,Yes,Strengthened,
Michigan,Not Restrictive,Legal before viability,Yes,Strengthened,
Minnesota,Not Restrictive,Legal with no gestational limit,Yes,Strengthened,
Mississippi,Restrictive,Total Ban,Yes,Restricted,
Missouri,Not Restrictive,Legal before viability,Yes,Strengthened,restrictive 7/2022-11/2024; 12/2024 on not restrictive
Montana,Not Restrictive,Legal before viability,Yes,Strengthened,
Nebraska,Restrictive,"Ban after 11 weeks, 6 days",Yes,Restricted,As of 6/2023
Nevada,Not Restrictive,Legal before viability,Yes,Strengthened,
New Hampshire,Not Restrictive,Legal before viability,Yes,Restricted,
New Jersey,Not Restrictive,Legal with no gestational limit,Yes,Strengthened,
New Mexico,Not Restrictive,Legal with no gestational limit,Yes,Strengthened,
New York,Not Restrictive,Legal before viability,Yes,Strengthened,
North Carolina,Restrictive,Ban after 12 weeks,Yes,Restricted,as of 7/2023
North Dakota,Restrictive,Total Ban,Yes,Restricted,"restrictive 5/2023-8/2024, 12/2024 on; not restrictive 9/2024-11/2024 "
Ohio,Not Restrictive,Legal before viability,Yes,Strengthened,"restrictive 7/2022-8/2022, not restrictive 9/2022 on "
Oklahoma,Restrictive,Total Ban,Yes,Restricted,as of 7/2022
Oregon,Not Restrictive,Legal with no gestational limit,Yes,Strengthened,
Pennsylvania,Not Restrictive,Legal before viability,No,No Change,
Rhode Island,Not Restrictive,Legal before viability,Yes,Strengthened,
South Carolina,Restrictive,Ban after 6 weeks,Yes,Restricted,as of 9/2023
South Dakota,Restrictive,Total Ban,Yes,Restricted,as of 7/2022
Tennessee,Restrictive,Total Ban,Yes,Restricted,as of 7/2022
Texas,Restrictive,Total Ban,Yes,Restricted,as of 9/2022
Utah,Restrictive,Ban at 18 weeks,Yes,Restricted,as of 7/2022
Vermont,Not Restrictive,Legal with no gestational limit,Yes,Strengthened,
Virginia,Not Restrictive,Legal before viability,No,No Change,
Washington,Not Restrictive,Legal before viability,Yes,Strengthened,
West Virginia,Restrictive,Total Ban,Yes,Restricted,
Wisconsin,Not Restrictive,Legal before viability,Yes,Strengthened,restrictive 7/2022-9/2023; not restrictive 10/2023 on
Wyoming,Restrictive,Total Ban,Yes,Restricted,as of 7/2022
District of Columbia,Not Restrictive,Legal with no gestational limit,Yes,Strengthened,
